text	normalized	phones	ipa	style	source	status	reviewer	notes_or_phones_google
अ	अ	ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax
अँगालो	अँगालो	ax ng . g aa . l o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g aa . l o
अँधेरो	अँधेरो	axn . dh e . r o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=axn . dh e . r o
अँध्यारो	अँध्यारो	axn . dh y aa . r o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=axn . dh y aa . r o
अंक	अंक	axn . k ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=axn . k ax
अंकल	अंकल	ax ng . k ax l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . k ax l
अंकित	अंकित	ax ng . k i t		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . k i t
अंग	अंग	axn . g ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=axn . g ax
अंगप्रदर्शन	अंगप्रदर्शन	ax ng . g ax . p r ax . d ax r . s ax n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g ax . p r ax . d ax r . s ax n
अंगप्रदर्शनलाई	अंगप्रदर्शनलाई	ax ng . g ax . p r ax . d ax r . s ax n . l aaj		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g ax . p r ax . d ax r . s ax n . l aaj
अंगरक्षक	अंगरक्षक	axn . g ax . r ax k . tsh y ax k		spoken_nepali	google_ne_lr_2018	candidate		google_phones=axn . g ax . r ax k . tsh y ax k
अंगुर	अंगुर	ax ng . g u r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g u r
अंग्रेजी	अंग्रेजी	ax ng . g r e . dz i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g r e . jh i
अंचल	अंचल	ax n . ts ax l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax n . ts ax l
अंश	अंश	ax m . s ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax m . s ax
अंशुवर्मा	अंशुवर्मा	ax m . s u . b ax r . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax m . s u . b ax r . m aa
अंशुवर्माको	अंशुवर्माको	ax m . s u . b ax r . m aa . k o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax m . s u . b ax r . m aa . k o
अइल्यान्डको	अइल्यान्डको	axj . l y aa n dx . k o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=axj . l y aa n dd . k o
अउबे	अउबे	axw . b e		spoken_nepali	google_ne_lr_2018	candidate		google_phones=axw . b e
अउबेमा	अउबेमा	axw . b e . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=axw . b e . m aa
अउमेलस	अउमेलस	axw . m e . l ax s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=axw . m e . l ax s
अउमेलसका	अउमेलसका	axw . m e . l ax s . k aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=axw . m e . l ax s . k aa
अकबर	अकबर	ax k . b ax r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . b ax r
अकमल	अकमल	ax . k ax . m ax l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . k ax . m ax l
अकल्यान्ड	अकल्यान्ड	ax k . l y aa n dx		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . l y aa n dd
अकल्यान्डमा	अकल्यान्डमा	ax k . l y aa n dx . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . l y aa n dd . m aa
अकाउन्ट	अकाउन्ट	ax . k aaw n tx		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . k aaw n tt
अकाट्य	अकाट्य	ax . k aa tx . tx y ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . k aa tt . tt y ax
अकाडेमी	अकाडेमी	ax . k aa . dx e . m i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . k aa . dd e . m i
