id	text	focus	why	old_phones	real_phones	changed	vote	notes
01_चार	चार	affricate	च should use clear-standard ch target	ts aa r	ch aa r	yes	real	
02_छ	छ	affricate	high-frequency छ token	tsh ax	chh ax	yes	real	
03_आज	आज	affricate	ज should use clear-standard j target	aa . dz ax	aa . j ax	yes	real	
04_मान्छे	मान्छे	affricate	छ in a very common word	m aa n . tsh e	m aa n . chh e	yes	real	
05_चीन	चीन	affricate	current model has known /ts i n/ quality problem	ts i n	ch i n	yes	real	
06_सञ्चार	सञ्चार	affricate+anusvara	tests affricate plus contextual nasal	s ax n . ts aa r	s ax n . ch aa r	yes	real	
07_जग्गा	जग्गा	affricate+gemination	tests ज plus geminated ग	dz ax g . g aa	j ax g . g aa	yes	real	
08_वर्ष	वर्ष	v	lexicon says b; rule fallback must be reviewed	b ax r . s ax	b ax r . s ax	no	tie	
09_विकास	विकास	v	common व word	b i . k aa s	b i . k aa s	no	tie	
10_विश्वास	विश्वास	v	common व word with conjuncts	b i s . s w aa s	b i s . s w aa s	no	tie	
11_विश्वविद्यालय	विश्वविद्यालय	v	common long व word	b i s . s w ax . b i d . d y aa . l ax . y ax	b i s . s w ax . b i d . d y aa . l ax . y ax	no	tie	
12_प्रभाव	प्रभाव	v	common भ/व sequence	p r ax . bh aa b	p r ax . bh aa b	no	tie	
13_शिक्षा	शिक्षा	sibilant	current default keeps sibilants collapsed	s i k . tsh y aa	s i k . chh y aa	yes	real	
14_शक्ति	शक्ति	sibilant	current default keeps sibilants collapsed	s ax k . t i	s ax k . t i	no	real	
15_शासन	शासन	sibilant	current default keeps sibilants collapsed	s aa . s ax n	s aa . s ax n	no	tie	
16_संस्कृति	संस्कृति	sibilant+anusvara	common संस्कृत-derived word	s ax m s . k r i . t i	s ax m s . k r i . t i	no	tie	
17_गुण	गुण	nasal	ण still collapses to n by default	g u n	g u n	no	tie	
18_ज्ञान	ज्ञान	nasal	ज्ञ/ञ behavior needs careful review	g y aan n	g y aan n	no	tie	
19_पञ्च	पञ्च	nasal+affricate	ञ plus च cluster	p ax n . ts ax	p ax n . ch ax	yes	real	
20_सुलोचना	सुलोचना	schwa	known Nepali-vs-Hindi schwa case	s u . l o . ts ax . n aa	s u . l o . ch ax . n aa	yes	real	
21_नेपालले	नेपालले	schwa+suffix	check suffix stripping and schwa placement	n e . p aa l . l e	n e . p aa l . l e	no	real	
22_संविधान	संविधान	schwa+anusvara	common formal word	s ax m . b i . dh aa n	s ax m . b i . dh aa n	no	tie	
23_अगाडि	अगाडि	schwa	common word with medial vowel behavior	ax . g aa . dx i	ax . g aa . dx i	no	tie	
24_छन्	छन्	verb_final_chh	high-frequency -छन् ending; verify clear chh target	tsh ax n	chh ax n	yes	real	
25_हजार	हजार	medial_j	very common medial ज; verify j vs dz acoustic target	h ax . dz aa r	h ax . j aa r	yes	real	
26_जानकारी	जानकारी	initial_j	common initial ज; verify j target in formal word	dz aa n . k aa . r i	j aa n . k aa . r i	yes	real	
27_छैन	छैन	negative_chh	high-frequency छैन; verify छ target in diphthong context	tsh axj . n ax	chh axj . n ax	yes	real	
28_जना	जना	initial_j	common classifier; verify short ज onset	dz ax . n aa	j ax . n aa	yes	real	
